2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:25 - (UNIFORM, scott, 10000, 122) - Time: 0.00172 s - Est.: 0.265 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 123) - Time: 0.00172 s - Est.: 0.271 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 124) - Time: 0.00172 s - Est.: 0.258 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 125) - Time: 0.00172 s - Est.: 0.265 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 126) - Time: 0.00170 s - Est.: 0.278 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 127) - Time: 0.00171 s - Est.: 0.264 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 128) - Time: 0.00172 s - Est.: 0.265 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 129) - Time: 0.00172 s - Est.: 0.269 nats
2023-11-16 17:21:26 - (UNIFORM, scott, 10000, 130) - Time: 0.00172 s - Est.: 0.269 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 131) - Time: 0.00173 s - Est.: 0.268 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 132) - Time: 0.00172 s - Est.: 0.271 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 133) - Time: 0.00171 s - Est.: 0.267 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 134) - Time: 0.00170 s - Est.: 0.256 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 135) - Time: 0.00173 s - Est.: 0.265 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 136) - Time: 0.00172 s - Est.: 0.254 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 137) - Time: 0.00173 s - Est.: 0.271 nats
2023-11-16 17:21:27 - (UNIFORM, scott, 10000, 138) - Time: 0.00171 s - Est.: 0.265 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 139) - Time: 0.00172 s - Est.: 0.259 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 140) - Time: 0.00172 s - Est.: 0.259 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 141) - Time: 0.00173 s - Est.: 0.262 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 142) - Time: 0.00171 s - Est.: 0.265 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 143) - Time: 0.00170 s - Est.: 0.274 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 144) - Time: 0.00173 s - Est.: 0.265 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 145) - Time: 0.00170 s - Est.: 0.269 nats
2023-11-16 17:21:28 - (UNIFORM, scott, 10000, 146) - Time: 0.00172 s - Est.: 0.261 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 147) - Time: 0.00173 s - Est.: 0.264 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 148) - Time: 0.00171 s - Est.: 0.278 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 149) - Time: 0.00170 s - Est.: 0.269 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 150) - Time: 0.00172 s - Est.: 0.271 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 151) - Time: 0.00170 s - Est.: 0.273 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 152) - Time: 0.00170 s - Est.: 0.273 nats
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 153) - Time: 0.00170 s - Est.: 0.271 nats
